"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.962241167E0,3.236449943E-1,-1.260299506E0,7.023944414E-1,1.478667941E0
2.972231167E0,1.172966005E0,-1.474648638E0,1.963817782E0,2.721583755E0
2.982221167E0,1.920638434E0,-1.625668185E0,2.728993194E0,3.712014667E0
2.992211167E0,2.139918669E0,-1.662119435E0,2.615211055E0,3.765796302E0
3.002202167E0,1.726707048E0,-1.352483638E0,1.296274500E0,2.547755248E0
3.012192167E0,1.152976494E0,-7.049540600E-1,-2.244032729E-1,1.369916732E0
3.022182167E0,9.181926593E-2,8.853868559E-2,-1.812691231E0,1.817173458E0
3.032172167E0,-1.148475088E0,7.025070003E-1,-3.415947477E0,3.671676495E0
3.042162167E0,-2.430369604E0,1.341709413E0,-4.151257650E0,4.993978438E0
3.052152167E0,-3.759309429E0,1.517601115E0,-4.010688246E0,5.702730989E0
3.062143167E0,-3.671285737E0,1.061167534E0,-3.627038394E0,5.268759153E0
3.072133167E0,-3.121212433E0,6.656122389E-1,-2.513565397E0,4.062390639E0
3.082123167E0,-2.130128091E0,3.231503930E-1,-1.094585906E0,2.416607160E0
3.092113167E0,-1.032637288E0,-1.297644795E-1,4.179630679E-1,1.121548802E0
3.102103167E0,-7.817946598E-2,-3.188265963E-1,1.597451130E0,1.630831855E0
3.112094167E0,6.213099325E-1,-1.949518343E-1,1.954635900E0,2.060250895E0
3.122084167E0,6.275133166E-1,-1.201378064E-1,1.680912532E0,1.798241640E0
3.132074167E0,1.890395319E-1,-4.588253478E-2,8.310694385E-1,8.535324031E-1
3.142064167E0,-9.744867280E-2,2.576311722E-1,-5.448950100E-1,6.105576440E-1
